Date,BTC,GOLD,CHINA INTERNET ETF,FIDELITY MF,COLUMBIA MF,GLOBAL Ex-US PROP.
2016-12-19,3.633484,-17.400025,-1.720001,1.669998,0.740002,-0.710001
2016-12-20,14.138489,-26.800049,-1.959999,1.029999,0.229995,-0.820002
2016-12-21,24.010437,-24.200073,-2.0,1.620003,0.489998,-0.719999
2016-12-22,52.784179,-11.700073,-1.32,0.630005,-0.349998,-0.24
2016-12-23,79.863282,0.599976,-0.970002,1.799995,0.36,-1.019998
2016-12-27,119.589905,-5.899902,-0.669998,1.580002,0.290001,-0.889999
2016-12-28,139.197144,5.100098,0.509999,-0.309997,-0.479995,-0.899999
2016-12-29,183.923706,12.400025,0.450001,-0.330002,-0.470001,-0.840001
2016-12-30,139.652222,29.300049,0.329998,-1.780006,-0.810001,-0.299999
2017-01-03,155.345581,21.900024,0.700001,-1.68,-0.470001,0.529998
2017-01-04,134.839416,25.299927,0.779999,-2.060005,-0.380005,0.629999
2017-01-05,183.604126,31.699951,0.869998,-1.25,0.18,0.76
2017-01-06,21.446045,28.0,1.719997,-0.689995,0.720001,0.92
2017-01-09,-74.024109,13.699951,1.780003,1.220001,1.560001,0.549999
2017-01-10,-115.452576,30.400025,2.220001,1.260002,1.349999,0.66
2017-01-11,-131.663024,27.300048,2.389999,1.510002,1.120003,0.480002
2017-01-12,-335.318421,23.300049,1.370003,1.599998,0.969994,0.35
2017-01-13,-198.960938,15.900024,0.370003,1.93,1.18,0.07
2017-01-17,-61.475342,28.600098,0.66,-0.150002,0.129997,0.1
2017-01-18,9.739685,29.699951,0.169999,0.419998,0.540001,0.030001
2017-01-19,-15.977845,14.900025,-0.43,-0.730003,0.11,-0.190001
2017-01-20,123.904908,9.799927,-0.030002,0.669998,1.390007,-0.290001
2017-01-23,87.885681,20.199951,-0.040001,-1.819999,0.669998,-0.19
2017-01-24,86.781983,12.199951,0.540001,1.260002,2.580002,-0.03
2017-01-25,-18.485596,-9.5,1.040001,1.880005,2.849998,0.02
2017-01-26,5.332032,-4.400025,1.400001,1.5,2.610001,0.299999
2017-01-27,12.436279,-20.900025,0.819999,1.790001,2.189994,0.400002
2017-01-30,24.551148,-18.399902,0.799999,2.609993,1.910004,0.1
2017-01-31,2.55072,-12.099976,-0.180001,-0.04,0.470001,0.069999
2017-02-01,76.674012,5.400024,-0.23,-1.030006,0.090004,0.22
2017-02-02,90.355651,18.5,-0.529998,-0.14,0.409996,0.100001
2017-02-03,94.216125,29.100098,-0.099998,-0.639999,0.75,0.179998
2017-02-06,98.783691,29.099975,0.330002,0.020004,1.019997,0.32
2017-02-07,100.18042,31.099976,0.809998,1.550003,1.440003,0.230002
2017-02-08,89.755249,24.099976,0.68,0.900001,0.979996,0.470001
2017-02-09,72.179017,26.0,1.219997,0.270005,1.290001,0.78
2017-02-10,-17.115966,9.799927,1.459999,-0.14,0.610001,0.58
2017-02-13,-14.985901,5.799927,1.589996,1.010002,1.130005,0.68
2017-02-14,-23.441467,-4.800049,1.310001,0.5,0.949997,0.619999
2017-02-15,-45.390564,-7.900024,0.939999,1.550003,1.160003,0.229999
2017-02-16,-43.596009,-6.900024,0.850002,2.699996,1.069999,0.08
2017-02-17,46.358154,14.5,0.389999,2.709999,1.300003,0.1
2017-02-21,87.320618,4.900025,0.310002,2.779999,1.319999,0.110001
2017-02-22,129.843505,7.0,0.689999,2.650001,1.339996,0.309999
2017-02-23,120.318054,11.800048,1.100002,0.860001,0.439995,0.539999
2017-02-24,165.486145,14.900024,-0.43,0.520005,0.090004,0.24
2017-02-27,147.817993,17.599975,-0.129997,0.700005,-0.029999,0.270001
2017-02-28,105.555664,18.5,-0.090001,-1.340004,-1.18,0.269998
2017-03-01,61.255982,6.300049,-0.270001,-0.190002,-0.389999,0.01
2017-03-02,99.931152,9.0,-0.550003,0.059997,-0.529999,-0.35
2017-03-03,79.744263,-16.5,0.369999,0.329994,-0.150001,-0.11
2017-03-06,99.090942,-23.699951,0.219997,-0.220001,-0.530006,-0.15
2017-03-07,90.466797,-29.099976,0.150002,1.160004,0.119995,-0.08
2017-03-08,46.424316,-25.699951,0.130002,0.279998,-0.509995,-0.019998
2017-03-09,-75.498657,-42.800048,0.34,0.940003,0.220002,0.060001
2017-03-10,-62.857544,-37.700073,0.619999,1.420006,0.540001,0.159999
2017-03-13,-169.080932,-27.400024,1.220002,1.409996,0.970001,0.57
2017-03-17,-113.666626,1.300049,2.25,1.409996,1.540001,0.91
2017-03-20,-166.603393,16.299927,2.25,1.590004,1.5,0.939999
2017-03-21,-113.599609,23.300048,2.230004,-0.64,-0.040001,1.289999
2017-03-22,-79.915894,48.5,0.729999,-0.530007,0.019996,0.780001
2017-03-23,-79.980225,40.0,0.560001,-0.529999,-0.299995,0.559999
