Date,BTC,GOLD,CHINA INTERNET ETF,FIDELITY MF,COLUMBIA MF,GLOBAL Ex-US PROP.
2016-12-12,777.677551,1158.599976,36.93,95.050003,63.84,26.52
2016-12-13,777.000793,1164.0,36.68,96.139999,64.370003,26.700001
2016-12-14,775.350098,1161.900024,36.700001,95.449997,64.010002,26.66
2016-12-15,777.09137,1143.400024,36.0,96.669998,64.639999,25.99
2016-12-16,776.301086,1131.900024,35.32,95.870003,64.080002,25.879999
2016-12-19,781.311035,1141.199951,35.209999,96.720001,64.580002,25.809999
2016-12-20,791.139282,1137.199951,34.720001,97.169998,64.599998,25.879999
2016-12-21,799.360535,1137.699951,34.700001,97.07,64.5,25.940001
2016-12-22,829.875549,1131.699951,34.68,97.300003,64.290001,25.75
2016-12-23,856.164368,1132.5,34.349998,97.669998,64.440002,24.860001
2016-12-27,900.90094,1135.300049,34.540001,98.300003,64.870003,24.92
2016-12-28,930.336426,1142.300049,35.23,96.860001,64.120003,24.98
2016-12-29,983.284241,1150.099976,35.150002,96.739998,64.029999,25.1
2016-12-30,969.527771,1161.0,35.009998,95.519997,63.48,25.450001
2017-01-03,1011.509949,1154.400024,35.049999,95.989998,63.970001,25.389999
2017-01-04,1035.740356,1160.599976,35.32,96.239998,64.489998,25.549999
2017-01-05,1113.940552,1174.0,36.099998,95.610001,64.300003,25.74
2017-01-06,1004.730286,1178.099976,36.869999,96.050003,64.75,26.02
2017-01-09,895.503662,1174.699951,36.790001,96.739998,65.040001,26.0
2017-01-10,896.057373,1184.800049,37.27,97.25,65.32,26.049999
2017-01-11,904.077332,1187.900024,37.709999,97.75,65.610001,26.030001
2017-01-12,778.622131,1197.300049,37.470001,97.209999,65.269997,26.09
2017-01-13,805.769348,1194.0,37.240002,97.980003,65.93,26.09
2017-01-17,834.02832,1203.300049,37.450001,96.589996,65.169998,26.1
2017-01-18,905.797058,1214.5,37.439999,97.669998,65.860001,26.08
2017-01-19,888.099487,1202.800049,37.279999,97.019997,65.720001,25.84
2017-01-20,902.527039,1207.099976,37.439999,97.879997,66.660004,25.799999
2017-01-23,893.655029,1214.199951,37.200001,96.160004,66.599998,25.9
2017-01-24,920.810303,1215.5,37.990002,97.849998,67.75,26.07
2017-01-25,887.311462,1205.0,38.48,99.550003,68.709999,26.1
2017-01-26,893.431519,1198.400024,38.68,98.519997,68.330002,26.139999
2017-01-27,914.963318,1186.199951,38.259998,99.669998,68.849998,26.200001
2017-01-30,918.206177,1195.800049,38.0,98.769997,68.510002,26.0
2017-01-31,923.361023,1203.400024,37.810001,97.809998,68.220001,26.139999
2017-02-01,963.985474,1210.400024,38.25,98.519997,68.800003,26.32
2017-02-02,983.78717,1216.900024,38.150002,98.379997,68.739998,26.24
2017-02-03,1009.179443,1215.300049,38.16,99.029999,69.599998,26.379999
2017-02-06,1016.989868,1224.900024,38.330002,98.790001,69.529999,26.32
2017-02-07,1023.541443,1234.5,38.619999,99.360001,69.660004,26.370001
2017-02-08,1053.740723,1234.5,38.93,99.419998,69.779999,26.790001
2017-02-09,1055.966187,1242.900024,39.369999,98.650002,70.029999,27.02
2017-02-10,992.063477,1225.099976,39.619999,98.889999,70.209999,26.959999
2017-02-13,1002.003967,1230.699951,39.919998,99.800003,70.660004,27.0
2017-02-14,1000.099976,1229.699951,39.93,99.860001,70.610001,26.99
2017-02-15,1008.350159,1226.599976,39.869999,100.970001,70.940002,27.02
2017-02-16,1012.370178,1236.0,40.220001,101.349998,71.099998,27.1
2017-02-17,1038.421631,1239.599976,40.009998,101.599998,71.510002,27.059999
