Date,BTC,NIKKEI,EURONEXT,NASDAQ,FTSE,SSE,NYSE
2016-12-21,21.682984,363.458984,13.919983,54.409668,89.799805,-126.426026,-29.780274
2016-12-22,52.874756,276.089843,14.969971,38.439942,151.0,-6.832031,-89.049805
2016-12-28,154.986328,122.099609,13.800049,31.75,99.600097,-35.609863,-65.70996
2016-12-29,206.192871,-26.660156,12.099975,-6.0,156.899903,-29.912109,-16.019531
2016-12-30,193.226685,-440.710937,9.200012,-27.649902,121.299805,-14.169922,-57.400391
2017-01-04,254.429321,-47.160156,19.390014,-0.290039,166.299804,13.091064,59.780273
2017-01-05,322.80127,234.259765,13.030029,0.860352,172.5,42.008057,97.830078
2017-01-06,205.369751,-153.728516,10.050049,16.450195,151.299805,56.535889,65.030274
2017-01-10,66.181824,17.980469,11.540039,64.530273,196.399903,35.414062,53.959961
2017-01-11,-26.259094,-33.46875,5.609985,53.280274,207.299805,42.918945,33.609375
2017-01-12,-204.66211,-0.849610000001,7.309998,105.050293,184.399902,37.75708,142.790039
2017-01-13,-163.758423,177.291015,7.899964,117.399902,172.100097,18.738037,123.240235
2017-01-17,-201.712036,-260.230469,-10.72998,114.25,149.200196,-46.75708,22.939454
2017-01-18,-208.143494,-848.138671,-2.559997,72.549804,30.699707,-53.139893,-55.790039
2017-01-19,-116.630799,-310.720703,-2.850037,61.529785,52.300293,-58.803955,-39.610352
2017-01-20,6.469666,-355.679687,-6.860047,20.330078,-29.399903,-71.750976,-6.220703
2017-01-23,-10.422303,-420.191406,-7.419983,-4.080078,-77.100098,-31.265137,-3.5
2017-01-24,142.188172,-482.769531,-3.859985,25.709961,-139.299805,0.98999,-30.340821
2017-01-25,81.542114,-83.740234,-0.679993,78.290039,-142.100097,21.562988,79.379883
2017-01-26,59.403199,222.220703,8.76001,111.119629,-162.700196,62.187012,126.0
2017-02-03,103.382385,242.779296,-7.900025,103.790039,-79.600097,55.315918,80.689453
2017-02-06,128.890381,-13.109375,-2.390014,96.340332,-59.300293,38.121094,82.580078
2017-02-07,121.014404,-215.03125,-10.690002,117.989746,-36.199707,58.585937,96.230469
2017-02-08,160.085694,12.710937,-4.390014,116.310058,-12.199707,22.66504,43.65039
2017-02-09,135.155884,124.619141,-3.140015,119.75,37.59961,30.095947,90.820313
2017-02-10,104.752015,125.509765,-0.849976,90.310059,79.200195,45.361084,50.5
2017-02-13,108.572448,253.109375,-5.869996,86.910156,94.399903,49.778076,42.390625
2017-02-14,-9.079467,482.119141,15.869995,105.779786,138.100097,56.054932,151.090821
2017-02-15,-8.639709,369.089844,15.440002,120.949707,80.300293,72.371093,190.689453
2017-02-16,-11.171265,587.490234,26.740051,148.149903,130.199707,55.951905,247.570313
2017-02-17,-15.319092,277.580078,19.070007,144.359864,91.699707,79.621093,245.929688
2017-02-21,33.358398,325.830078,14.710022,162.180175,111.100097,77.534912,243.560547
2017-02-22,137.880004,202.480469,12.989991,131.390137,45.299805,69.682861,196.240234
2017-02-23,126.664246,-133.859375,13.349976,113.629883,43.5,59.836914,208.849609
2017-02-24,177.756347,-246.75,2.950013,45.820312,-7.5,30.723144,137.040039
2017-02-27,177.889465,-308.300781,-5.079956,57.140137,-24.899903,33.730957,62.290039
2017-02-28,182.510071,-236.929687,-4.680053,29.780273,-49.399902,15.61206,9.589843
2017-03-01,152.777832,-1.800781,4.709961,67.549804,-14.5,12.365967,125.200195
2017-03-02,139.27478,356.951172,14.460022,46.809571,83.0,8.295166,115.699218
2017-03-03,127.657105,132.119141,5.769958,-3.290039,107.600097,-33.488037,31.75
2017-03-06,156.662353,29.259766,10.419983,-20.399902,72.0,-41.49707,-30.330078
2017-03-07,107.490723,105.080078,12.200012,33.790039,78.700196,-13.766113,-8.360352
2017-03-08,51.384155,178.019531,10.700012,3.399902,95.299805,-8.663086,-19.549804
2017-03-09,-41.779541,148.380859,11.059997,-18.120117,81.600098,7.731934,-74.320312
2017-03-10,3.543579,217.771485,14.720032,-7.699707,51.600098,-26.343994,-82.269531
2017-03-13,-112.349731,-79.080079,8.069946,-33.529786,-39.799804,-41.069091,-126.449218
2017-03-14,-16.251221,82.949219,10.320007,5.799804,-15.299804,16.050049,-96.889649
2017-03-15,-36.830322,119.570312,1.380005,23.560058,-16.399903,18.068115,-66.30957
2017-03-16,-26.636841,121.509766,10.76001,71.739746,18.5,14.069092,71.269531
2017-03-17,-65.943359,202.361328,13.489991,60.140137,77.0,31.334961,103.060547
2017-03-21,-113.599609,167.830078,18.5,88.75,95.199707,16.546142,143.969726
2017-03-22,-79.915894,-298.091797,-1.600037,-76.570312,63.299805,32.493896,-104.340821
2017-03-23,-79.980225,-496.90039,-0.98999,-51.169921,-18.399903,36.35913,-96.720703
2017-03-24,-217.807922,-567.939454,4.380005,-20.739746,-26.399903,12.098145,-38.120117
2017-03-27,-207.890503,-543.160156,0.130005,-93.649902,-21.100097,33.520996,-149.0
2017-03-28,-219.209106,-299.628906,0.309997,-71.359863,-75.100098,18.470947,-215.349609
2017-03-29,-132.179321,-294.111328,8.949951,-23.22998,-72.600098,-19.001953,-151.169922
2017-03-30,51.011474,-360.070312,4.77002,-27.27002,-56.09961,-15.110107,-103.699218
2017-04-05,79.983033,-245.919922,21.240051,121.330078,-56.5,-10.562988,95.020508
2017-04-06,147.770752,-294.470703,12.059997,58.209961,7.0,26.38501,16.110351
2017-04-10,203.452453,-266.128906,19.080017,44.100098,8.699707,38.108886,13.200196
2017-04-11,170.044068,-268.039063,22.539978,94.830078,12.100097,-2.702148,114.889648
2017-04-12,136.969482,-566.970704,17.109986,27.089844,72.0,18.202881,56.509766
2017-04-13,135.587036,-825.058594,6.950012,-46.979981,5.600098,12.353028,-72.980469
2017-04-18,110.488159,-653.439454,3.280029,-57.560058,-46.100097,-19.740967,-68.030274
