Date,BTC,NIKKEI,EURONEXT,NASDAQ,FTSE,SSE,NYSE
2016-12-12,777.677551,19183.820313,914.73999,5428.220215,6954.200195,3233.666016,11200.19043
2016-12-13,777.000793,19120.759766,913.080017,5433.569824,6890.399902,3138.988037,11216.830078
2016-12-14,775.350098,19270.009766,918.039978,5465.689941,6968.600098,3149.376953,11214.030273
2016-12-15,777.09137,19327.699219,916.01001,5443.509766,6949.200195,3125.75708,11087.129883
2016-12-16,776.301086,19438.390625,921.330017,5467.819824,6999.0,3111.514893,11152.209961
2016-12-19,781.311035,19345.839844,924.599976,5441.200195,7011.600098,3120.696045,11127.0
2016-12-20,791.139282,19367.839844,925.789978,5473.529785,7017.200195,3115.897949,11145.290039
2016-12-21,799.360535,19547.279297,928.659973,5482.629883,7044.0,3107.23999,11170.410156
2016-12-22,829.875549,19396.849609,928.049988,5472.009766,7041.399902,3132.156006,11127.780273
2016-12-28,930.336426,19392.109375,931.840027,5497.439941,7068.200195,3113.76709,11148.320313
2016-12-29,983.284241,19301.039063,928.109985,5437.509766,7106.100098,3095.844971,11071.110352
2016-12-30,969.527771,18997.679688,930.530029,5440.169922,7120.299805,3097.344971,11094.80957
2017-01-04,1035.740356,19298.679688,943.98999,5440.910156,7177.899902,3133.787109,11186.780273
2017-01-05,1113.940552,19602.099609,938.820007,5474.390137,7189.700195,3157.906006,11243.120117
2017-01-06,1004.730286,19393.550781,938.710022,5499.080078,7195.299805,3163.775879,11235.44043
2017-01-10,896.057373,19414.830078,939.590027,5536.540039,7237.799805,3167.570068,11181.740234
2017-01-11,904.077332,19358.640625,937.450012,5550.720215,7275.5,3156.686035,11181.929688
2017-01-12,778.622131,19300.189453,935.419983,5542.560059,7290.5,3133.602051,11213.900391
2017-01-13,805.769348,19174.970703,938.429993,5557.569824,7292.399902,3116.083008,11218.049805
2017-01-17,834.02832,19038.449219,933.26001,5555.160156,7327.100098,3087.030029,11209.719727
2017-01-18,905.797058,18753.960938,936.26001,5546.939941,7220.399902,3104.766113,11187.330078
2017-01-19,888.099487,19082.830078,935.859985,5560.609863,7247.600098,3104.971924,11195.830078
2017-01-20,902.527039,19059.150391,932.72998,5556.870117,7208.399902,3095.819092,11175.519531
2017-01-23,893.655029,18938.449219,930.030029,5546.640137,7198.399902,3125.420898,11178.429688
2017-01-24,920.810303,18817.419922,931.559998,5568.27002,7151.200195,3134.592041,11183.55957
2017-01-25,887.311462,19091.230469,937.75,5635.859863,7150.299805,3137.645996,11297.429688
2017-01-26,893.431519,19260.669922,942.02002,5666.279785,7164.399902,3149.217041,11335.719727
2017-02-03,1009.179443,18996.740234,928.359985,5650.72998,7140.799805,3160.082031,11268.019531
2017-02-06,1016.989868,19069.720703,933.469971,5656.950195,7188.299805,3143.093018,11278.410156
2017-02-07,1023.541443,18844.119141,922.039978,5674.859863,7172.200195,3154.405029,11271.75
2017-02-08,1053.740723,18951.160156,925.640015,5662.950195,7186.200195,3148.085938,11222.080078
2017-02-09,1055.966187,18942.039063,928.419983,5688.02002,7188.799805,3164.687988,11274.379883
2017-02-10,992.063477,19216.740234,936.900024,5726.169922,7229.5,3183.00708,11347.929688
2017-02-13,1002.003967,19513.779297,936.150024,5753.189941,7258.799805,3198.995117,11378.110352
2017-02-14,1000.099976,19478.859375,944.22998,5756.509766,7278.899902,3216.136963,11419.110352
2017-02-15,1008.350159,19438.810547,948.909973,5777.899902,7268.600098,3215.464111,11469.099609
2017-02-16,1012.370178,19431.609375,948.780029,5823.009766,7302.399902,3210.356934,11519.320313
2017-02-17,1038.421631,19228.740234,944.710022,5807.310059,7277.899902,3227.707031,11468.009766
2017-02-21,1089.324585,19267.869141,943.130005,5850.200195,7299.899902,3242.2229,11517.94043
2017-02-22,1129.943481,19419.220703,949.890015,5857.560059,7274.799805,3252.689941,11544.169922
2017-02-23,1128.668213,19379.919922,949.5,5866.819824,7302.299805,3258.832031,11586.959961
2017-02-24,1177.856323,19232.109375,947.179993,5802.330078,7271.399902,3246.860107,11556.150391
2017-02-27,1186.239624,19130.509766,943.830017,5835.040039,7243.700195,3249.195068,11531.389648
2017-02-28,1194.880249,19194.679688,944.099976,5852.790039,7253.0,3225.968994,11528.910156
2017-03-01,1191.199463,19226.939453,949.419983,5874.859863,7263.399902,3240.072998,11593.209961
2017-03-02,1228.599365,19624.820313,957.590027,5897.009766,7382.899902,3250.518066,11633.639648
2017-03-03,1257.600586,19551.339844,955.659973,5854.27002,7382.399902,3219.201904,11575.919922
2017-03-06,1285.330566,19409.179688,959.919983,5846.419922,7374.299805,3217.334961,11556.629883
2017-03-07,1285.347046,19337.189453,959.380005,5836.120117,7350.100098,3233.093994,11547.790039
2017-03-08,1237.623779,19308.529297,954.530029,5838.439941,7339.0,3240.531982,11511.839844
2017-03-09,1153.100708,19343.060547,955.159973,5834.669922,7334.600098,3233.700928,11454.589844
2017-03-10,1194.743042,19444.710938,964.140015,5867.160156,7315.0,3213.729004,11510.94043
2017-03-13,1116.249634,19545.740234,965.659973,5863.47998,7343.100098,3209.448975,11507.19043
2017-03-14,1241.349365,19634.289063,965.97998,5860.069824,7367.100098,3235.251953,11479.030273
2017-03-15,1248.500244,19528.75,961.299988,5869.97998,7357.899902,3235.403076,11490.320313
2017-03-16,1258.710205,19458.699219,970.140015,5907.859863,7368.600098,3247.163086,11619.05957
2017-03-17,1171.68042,19510.890625,968.02002,5898.580078,7416.0,3271.866943,11614.900391
2017-03-21,1039.501099,19510.890625,973.659973,5923.419922,7429.799805,3250.24707,11598.55957
2017-03-22,1114.827148,19146.619141,962.539978,5790.589844,7378.299805,3246.2229,11406.599609
2017-03-23,1036.269409,19048.839844,964.669983,5812.310059,7324.700195,3245.808105,11410.469727
2017-03-24,1023.541443,19066.349609,970.359985,5839.330078,7340.700195,3247.350098,11440.910156
2017-03-27,1040.609741,18985.589844,961.429993,5776.330078,7336.799805,3268.924072,11341.320313
2017-03-28,1039.501099,19159.070313,970.450012,5836.5,7293.5,3265.634033,11403.709961
2017-03-29,1039.501099,19216.779297,976.969971,5875.350098,7343.399902,3252.86499,11463.730469
2017-03-30,1090.512573,19150.820313,978.429993,5896.149902,7373.700195,3235.136963,11494.860352
2017-04-05,1194.810181,18900.699219,983.780029,5911.919922,7321.799805,3235.659912,11501.620117
2017-04-06,1184.040161,18754.369141,976.72998,5870.52002,7331.700195,3272.193115,11426.580078
2017-04-10,1226.993896,18800.220703,989.440002,5883.430176,7349.399902,3285.458984,11454.110352
2017-04-11,1210.653809,18717.550781,983.969971,5871.160156,7348.899902,3266.221924,11456.209961
2017-04-12,1176.470581,18592.099609,987.559998,5863.589844,7365.5,3283.836914,11460.219727
2017-04-13,1175.088135,18391.720703,983.919983,5828.370117,7349.0,3265.218018,11390.75
2017-04-18,1201.000732,18497.380859,981.710022,5838.589844,7327.600098,3215.395996,11426.830078
2017-04-19,1234.3302,18327.330078,968.23999,5874.430176,7147.5,3184.666016,11401.990234
2017-04-20,1242.589478,18446.390625,968.059998,5887.870117,7114.399902,3165.665039,11375.660156
2017-04-24,1282.05127,18890.380859,1008.030029,5979.959961,7114.600098,3164.248047,11515.009766
2017-04-25,1302.083252,18872.560547,1012.5,6004.160156,7264.700195,3123.894043,11573.669922
2017-04-26,1353.180054,19184.919922,1012.47998,6028.120117,7275.600098,3132.917969,11594.669922
2017-04-27,1342.28186,19205.589844,1011.700012,6038.470215,7288.700195,3131.350098,11601.330078
2017-05-02,1524.390259,19335.720703,1012.450012,6102.509766,7203.899902,3147.228027,11554.099609
2017-05-08,1724.801147,19709.009766,1045.01001,6100.660156,7297.399902,3090.064941,11607.280273
